OBJECTID *,Shape *,Join_Count,TARGET_FID,F_id,access,amenity,covered,fee,parking,surface,wheelchair,F_timestamp,F_version,F_changeset,F_user,F_uid,OBJECTID_1,SPI_Type,County,Real_Property_Number,Real_Property_Name,Address,City,State,Zip_Code,Agency,Total_Fee_Acreage,Total_SF_of_Structures,Latitude,Longitude,Elevation,Shape_Length,Shape_Area
100,Polygon Z,1,22486,way/105021601,fee,parking,no,no,surface,asphalt,limited,2020-08-09T08:39:07Z,4,89147098,PritamSarang,11460235,1883,Real Property,SAN JOAQUIN,11309,THORNTON ROAD PARK AND RIDE, SE QUAD I-5,LODI,CA,95242,"TRANSPORTATION, DEPT OF",1.5,0,38.115232,-121.395552,14.33,383.398448,8171.781415
101,Polygon Z,1,22552,way/105021566,fee,parking,no,no,surface,asphalt,limited,2020-08-09T08:39:07Z,5,89147098,PritamSarang,11460235,1882,Real Property,SAN JOAQUIN,11308,LODI PARK AND RIDE, SE QUAD SR 99,LODI,CA,95240,"TRANSPORTATION, DEPT OF",0.6,0,38.137069,-121.256955,52.34,240.197496,2759.868245
102,Polygon Z,1,22727,way/942824704,private,parking,no,no,surface,gravel,limited,2021-05-14T09:53:20Z,1,104677694,JRH50,11392834,1015,Real Property,MENDOCINO,568,POINT ARENA FFS,410 SCHOOL STREET,POINT ARENA,CA,95468,"FORESTRY AND FIRE PROTECTION, DEPT OF",1.89,5422,38.915246,-123.700727,222.36,365.178566,3387.86227
103,Polygon Z,1,22741,way/961803277,yes,parking,no,yes,surface,unpaved,limited,2021-07-06T04:40:28Z,1,107468643,BryanOSullivan,10729167,951,Real Property,MARIN,269,KEYS CREEK FA,,UNINCORP - MARIN CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",19.6,0,38.226065,-122.91645,9,130.499363,869.546595
104,Polygon Z,1,22964,way/31451651,fee,parking,no,no,surface,asphalt,yes,2022-02-19T09:17:36Z,8,117596039,Jorisbo,1983103,2350,Real Property,SONOMA,11846,ROHNERT PARK (W)  PARK AND RIDE, SW QUAD OF RTE 101,ROHNERT PARK,CA,0,"TRANSPORTATION, DEPT OF",1.15,0,38.347657,-122.713745,96.5,382.99215,8126.874696
105,Polygon Z,1,22972,way/31451654,customers,parking,no,no,surface,asphalt,yes,2022-02-19T09:17:36Z,7,117596039,Jorisbo,1983103,2349,Real Property,SONOMA,11845,ROHNERT PARK (E)  PARK AND RIDE, NE QUAD OF RTE 101,ROHNERT PARK,CA,0,"TRANSPORTATION, DEPT OF",12.48,0,38.349264,-122.712291,97.99,502.18126,11476.02325
106,Polygon Z,1,23021,way/106610258,customers,parking,no,no,surface,asphalt,yes,2022-02-19T09:17:50Z,6,117596047,Jorisbo,1983103,2345,Real Property,SONOMA,11844,SOUTH PETALUMA BLVD. PARK AND RIDE, SE QUAD RTE 101,PETALUMA,CA,0,"TRANSPORTATION, DEPT OF",7.9,0,38.223888,-122.611367,20.84,199.1639,1767.220551
107,Polygon Z,1,23023,way/106610213,fee,parking,no,no,surface,asphalt,yes,2020-08-02T06:08:20Z,6,88830329,PritamSarang,11460235,2344,Real Property,SONOMA,11843,LAKEVILLE HWY PARK AND RIDE, W SIDE OF RTE 101,PETALUMA,CA,0,"TRANSPORTATION, DEPT OF",15.91,0,38.23412,-122.61899,11.04,526.135476,9181.243557
108,Polygon Z,1,23365,way/544905165,customers,parking,yes,no,surface,asphalt,yes,2019-06-10T06:39:40Z,5,71089486,zyphlar,1687133,2351,Real Property,SONOMA,141,SANTA ROSA,606 HEALDSBURG AVE,SANTA ROSA,CA,95401,EMPLOYMENT DEVELOPMENT DEPARTMENT,1.11,13801,38.444184,-122.717245,163.09,348.081465,3907.289159
109,Polygon Z,1,23414,way/106610051,customers,parking,yes,no,surface,asphalt,yes,2022-03-09T08:38:09Z,5,118268198,Jorisbo,1983103,2360,Real Property,SONOMA,11847,BROOKWOOD PARK AND RIDE, UNDER RTE 12,SANTA ROSA,CA,0,"TRANSPORTATION, DEPT OF",1.23,0,38.433334,-122.699474,174.03,751.827122,14065.74358
110,Polygon Z,1,23748,way/903271045,customers,parking,yes,no,surface,concrete,yes,2021-02-03T06:21:37Z,1,98622167,zyphlar,1687133,2356,Real Property,SONOMA,956,ANNADEL SP,6201 CHANNEL DRIVE,SANTA ROSA,CA,95409,"PARKS & RECREATION, DEPT OF",5092.65,1644,38.451766,-122.633675,355.21,156.223481,1162.666436
111,Polygon Z,1,23845,way/107151567,destination,parking,yes,no,surface,asphalt,yes,2022-02-19T09:16:49Z,4,117596012,Jorisbo,1983103,555,Real Property,LAKE,11808,LAKEPORT PARK AND RIDE, 03 MI S JCT SR 29,LAKEPORT,CA,95453,"TRANSPORTATION, DEPT OF",10.69,0,39.014075,-122.910749,1373.2,401.899815,2643.230489
112,Polygon Z,1,23908,way/107151571,permissive,parking,yes,no,surface,asphalt,yes,2020-07-26T10:54:17Z,4,88517275,PritamSarang,11460235,552,Real Property,LAKE,11807,KELSEYVILLE PARK AND RIDE, NW CNR SR 29,KELSEYVILLE,CA,95451,"TRANSPORTATION, DEPT OF",0.99,0,38.972649,-122.833213,1396.07,149.186604,1033.312806
113,Polygon Z,1,24007,way/131561281,customers,parking,yes,no,surface,asphalt,yes,2011-09-28T04:04:30Z,1,9416049,DanHomerick,160138,1011,Real Property,MENDOCINO,1209,RUSSIAN GULCH SP,HIGHWAY 1 HWY 1,MENDOCINO,CA,95460,"PARKS & RECREATION, DEPT OF",1257.66,29206,39.330426,-123.801996,24.26,155.101865,1224.865463
114,Polygon Z,1,24018,way/967094737,yes,parking,yes,no,surface,asphalt,yes,2021-07-24T21:10:18Z,1,108546728,Richard,165,992,Real Property,MENDOCINO,301,NOYO RIVER FA,,FORT BRAGG,CA,95437,"FISH AND WILDLIFE, CA DEPT OF",3.19,0,39.426973,-123.797469,24.72,414.556268,8846.540696
115,Polygon Z,1,24081,way/25378932,private,parking,yes,no,surface,asphalt,yes,2019-10-15T04:12:46Z,3,75696043,doug_sfba,1796809,1037,Real Property,MENDOCINO,12018,EMPIRE CAMP SAFETY ROADSIDE REST AREA - NB,13.5 MI N OF LAYTONVILLE,UNINCORP - MENDOCINO CO,CA,95454,"TRANSPORTATION, DEPT OF",3.45,2476,39.826746,-123.594724,1182,230.123515,2812.660049
116,Polygon Z,1,24214,way/717823000,customers,parking,yes,no,surface,ground,yes,2022-10-28T18:24:35Z,2,128186590,googlenaut,519916,1021,Real Property,MENDOCINO,2422,UKIAH AREA,540 ORCHARD AVENUE,UKIAH,CA,95482,"HIGHWAY PATROL, DEPT OF THE CALIF",1.5,3721,39.147656,-123.199281,603.97,601.680159,6796.930178
117,Polygon Z,1,24344,way/106610254,customers,parking,yes,no,surface,asphalt,yes,2022-02-19T09:17:15Z,4,117596022,Jorisbo,1983103,2368,Real Property,SONOMA,11848,SCHELLVILLE PARK AND RIDE, Y JCT OF RTE 121/116,SONOMA,CA,0,"TRANSPORTATION, DEPT OF",0.83,0,38.236082,-122.461129,25.76,239.950612,2598.001261
118,Polygon Z,1,24407,way/106610189,fee,parking,yes,no,surface,asphalt,yes,2022-06-04T23:23:13Z,5,121956258,Delta 6,4967074,1192,Real Property,NAPA,11343,IMOLA PARK AND RIDE, SW OF SR 29,NAPA,CA,94559,"TRANSPORTATION, DEPT OF",1.7,0,38.281218,-122.301334,24.09,314.95275,5203.83887
119,Polygon Z,1,24574,way/205613042,customers,parking,no,no,surface,asphalt,yes,2023-02-26T21:51:18Z,9,133060742,Manu1400,181135,1194,Real Property,NAPA,11833,TRANCAS STREET PARK AND RIDE, W OF RTE 26 AT NW,NAPA,CA,0,"TRANSPORTATION, DEPT OF",0.01,0,38.321814,-122.310507,77.85,301.171644,4746.678577
120,Polygon Z,1,24741,way/33615259,yes,parking,no,no,surface,unpaved,yes,2012-09-10T08:16:10Z,2,13053691,beej71,11154,2290,Real Property,SOLANO,167,BELDEN'S LANDING FA,,UNINCORP - SOLANO CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",10,1000,38.188581,-121.976325,7.34,323.342865,6453.659773
121,Polygon Z,1,24749,way/106610149,permissive,parking,no,no,surface,asphalt,yes,2020-07-30T11:18:05Z,5,88729649,PritamSarang,11460235,2289,Real Property,SOLANO,11836,MAIN STREET PARK AND RIDE, MAIN STREET,SUISUN CITY,CA,94585,"TRANSPORTATION, DEPT OF",6.51,0,38.243358,-122.039641,8.15,498.537531,15717.9633
122,Polygon Z,1,24750,way/780024028,permissive,parking,no,no,surface,asphalt,yes,2020-03-10T21:57:05Z,1,82024977,Timothy Smith,115918,2285,Real Property,SOLANO,11608,OLD SOLANO COURTHOUSE,580 TEXAS STREET,FAIRFIELD,CA,0,JUDICIAL COUNCIL OF CALIFORNIA,3.28,0,38.249766,-122.040108,16,543.637458,11199.66025
123,Polygon Z,1,24988,way/106610202,fee,parking,no,yes,surface,asphalt,yes,2020-08-01T07:06:44Z,4,88808168,PritamSarang,11460235,2310,Real Property,SOLANO,11838,MASON STREET PARK AND RIDE, NW CORNER OF PEABODY,VACAVILLE,CA,95687,"TRANSPORTATION, DEPT OF",3.39,0,38.352631,-121.979718,164.62,551.015616,8900.326079
124,Polygon Z,1,25568,way/561683817,customers,parking,no,no,surface,asphalt,yes,2018-02-16T06:14:54Z,1,56404055,jraller,46789,2580,Real Property,YOLO,12002,"UC, DAVIS OFF CAMPUS  - AG AND NATURAL RESOURCES - YOLO",2801 2ND STREET,DAVIS,CA,95618,UNIVERSITY OF CALIFORNIA,12.95,0,38.550109,-121.714988,39.96,486.606947,4408.418198
125,Polygon Z,1,25841,way/403394975,customers,parking,no,no,surface,asphalt,yes,2016-03-13T00:04:42Z,1,37792715,jraller,46789,2603,Real Property,YOLO,87,"DAA 40, YOLO COUNTY FAIRGROUNDS",1125 EAST STREET,WOODLAND,CA,95776,DISTRICT AGRICULTURAL ASSOCIATIONS,54.5,133967,38.666773,-121.763537,62.83,586.068015,12215.18001
126,Polygon Z,1,25910,way/394512157,customers,parking,no,no,surface,asphalt,yes,2016-01-29T01:52:36Z,1,36871417,jraller,46789,2591,Real Property,YOLO,2227,KNIGHTS LANDING FA,,UNINCORP - YOLO CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",3.9,0,38.801852,-121.723468,29.66,389.869235,7652.739621
127,Polygon Z,1,26054,way/1115101586,yes,parking,no,no,surface,paved,yes,2022-11-18T01:27:27Z,1,129065236,acrypt,9756453,1452,Real Property,SACRAMENTO,11031,ELK GROVE MAINTENANCE STATION,9087 ELKMONT WAY,ELK GROVE,CA,95624,"TRANSPORTATION, DEPT OF",4.38,7633,38.383153,-121.363431,45.69,556.630146,19350.94921
128,Polygon Z,1,26092,way/107138654,permissive,parking,no,yes,surface,asphalt,yes,2022-08-04T16:14:56Z,7,124488236,Timothy Smith,115918,1457,Real Property,SACRAMENTO,11332,TWIN CITIES ROAD PARK AND RIDE, TWIN CITIES RD,GALT,CA,95632,"TRANSPORTATION, DEPT OF",1.37,0,38.29014,-121.311082,50.13,366.970502,3961.175103
129,Polygon Z,1,26341,way/107138682,permissive,parking,no,yes,surface,asphalt,yes,2020-07-26T11:13:59Z,8,88517744,PritamSarang,11460235,2600,Real Property,YOLO,11321,ENTERPRISE DRIVE PARK AND RIDE - NORTH, NE QUAD ENTERPRISE,WEST SACRAMENTO,CA,95691,"TRANSPORTATION, DEPT OF",1.06,0,38.575049,-121.575986,17,338.556644,5749.275613
130,Polygon Z,1,26745,way/748911152,customers,parking,no,no,surface,asphalt,yes,2022-09-27T06:58:25Z,2,126682971,traveleditor,8726248,1505,Real Property,SACRAMENTO,2417,SACRAMENTO HQ EAST OFFICE BUILDING,2415 1ST AVE.,SACRAMENTO,CA,95818,"MOTOR VEHICLES, DEPT OF",10.61,524703,38.556771,-121.480704,24.58,905.506703,30625.58618
131,Polygon Z,1,26829,way/200395983,yes,parking,no,yes,surface,asphalt,yes,2016-08-19T01:34:33Z,2,41546889,JessAk71,381909,1538,Real Property,SACRAMENTO,10025,OFFICE BUILDING 28,450 N STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",2.5,868131,38.577254,-121.502923,19.76,495.310729,11289.40832
132,Polygon Z,1,26841,way/200395551,yes,parking,no,yes,surface,asphalt,yes,2016-08-20T00:26:25Z,2,41567995,JessAk71,381909,1468,Real Property,SACRAMENTO,144,ARCHIVES PARKING SITE-FLEET LOT 55,800 Q STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",0.75,173600,38.572805,-121.499145,19,273.274565,4341.541728
133,Polygon Z,1,26859,way/37060031,private,parking,no,yes,multi-storey,asphalt,yes,2021-11-05T03:58:02Z,4,113392635,catholictomato,14395723,1487,Real Property,SACRAMENTO,693,SACRAMENTO STATE GARAGE-FLEET LOT 2,1416 TENTH STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",1.17,282050,38.575271,-121.496413,19.75,359.580628,6984.191482
134,Polygon Z,1,26860,way/331297465,private,parking,no,yes,multi-storey,asphalt,yes,2015-03-04T21:13:23Z,1,29253683,thevirginian,2441939,1496,Real Property,SACRAMENTO,1493,PARKING FACILITY,,SACRAMENTO,CA,0,"VETERANS AFFAIRS, DEPT OF",1.5,0,38.573379,-121.492658,20.34,336.522139,6547.936383
135,Polygon Z,1,26861,way/437895634,yes,parking,no,yes,multi-storey,asphalt,yes,2021-11-05T03:57:56Z,4,113392637,catholictomato,14395723,1515,Real Property,SACRAMENTO,9685,LOT 24 - BONDERSON PARKING FACILITY,1500 TENTH STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",0.95,168530,38.574491,-121.496518,21.82,295.155969,5322.852231
136,Polygon Z,2,26863,way/545123121,yes,parking,no,yes,surface,asphalt,yes,2021-11-07T08:35:04Z,4,113470578,catholictomato,14395723,1528,Real Property,SACRAMENTO,9702,FLEET ADMIN LOT 33,1100 P STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",0.44,0,38.572921,-121.494804,20.53,378.730818,7958.158943
137,Polygon Z,1,26864,way/545123214,private,parking,no,yes,surface,asphalt,yes,2021-11-07T08:34:57Z,4,113470571,catholictomato,14395723,1501,Real Property,SACRAMENTO,1886,PARKING LOT 4, NE CORNER OF 11TH,SACRAMENTO,CA,95814,"TRANSPORTATION, DEPT OF",1.5,0,38.572383,-121.494673,19.02,314.894604,5905.755817
138,Polygon Z,1,26866,way/799046187,private,parking,no,yes,multi-storey,asphalt,yes,2020-05-02T08:49:36Z,1,84511247,Fluffy89502,10165657,1542,Real Property,SACRAMENTO,10466,LEGISLATIVE GARAGE - LOT 50,1517 11TH STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",1.18,224365,38.573461,-121.494227,19.98,346.740134,6006.305296
139,Polygon Z,1,26867,way/799046189,private,parking,no,yes,multi-storey,asphalt,yes,2020-05-02T08:49:36Z,1,84511247,Fluffy89502,10165657,1518,Real Property,SACRAMENTO,9688,PARKING LOT 67 - BLOCK 222,1237 P STREET,SACRAMENTO,CA,0,"GENERAL SERVICES, DEPT OF",0.43,0,38.572955,-121.492272,20.3,288.267428,4798.218039
140,Polygon Z,1,26914,way/437894760,private,parking,no,yes,surface,asphalt,yes,2020-01-30T02:29:56Z,3,80284480,StephenGervais,182860,1519,Real Property,SACRAMENTO,9689,CADA BLOCK 223,1424 14TH STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",1.05,48650,38.574168,-121.490276,21.15,190.269261,1861.565729
141,Polygon Z,1,26930,way/1125026523,private,parking,no,yes,surface,asphalt,yes,2022-12-26T18:23:39Z,1,130526715,jeremiak,1779875,1525,Real Property,SACRAMENTO,9697,CADA BLOCK 232,1501 15TH STREET,SACRAMENTO,CA,95814,"GENERAL SERVICES, DEPT OF",0.51,24650,38.572479,-121.488721,20.23,306.980722,2878.634576
142,Polygon Z,1,27329,way/550794768,customers,parking,no,yes,surface,asphalt,yes,2018-01-04T06:52:42Z,1,55149189,Adamant1,4540953,1547,Real Property,SACRAMENTO,11033,SACRAMENTO RECYCLE YARD,2100 EVERGREEN STREET,SACRAMENTO,CA,95815,"TRANSPORTATION, DEPT OF",1.38,0,38.604619,-121.443668,39.43,543.427873,12626.35328
143,Polygon Z,1,27413,way/107138718,fee,parking,no,no,surface,asphalt,yes,2012-07-31T18:13:44Z,3,12564834,esuor,594525,1453,Real Property,SACRAMENTO,11330,SHELDON ROAD PARK AND RIDE,,ELK GROVE,CA,95624,"TRANSPORTATION, DEPT OF",0.91,0,38.435207,-121.399626,34.16,426.572393,10165.43587
144,Polygon Z,1,27442,way/107138736,permissive,parking,no,yes,surface,asphalt,yes,2022-08-04T16:00:21Z,5,124487700,Timothy Smith,115918,1549,Real Property,SACRAMENTO,11317,CALVINE ROAD PARK AND RIDE,,SACRAMENTO,CA,95624,"TRANSPORTATION, DEPT OF",2.06,0,38.452522,-121.407702,33.26,596.72455,11784.82829
145,Polygon Z,1,27503,way/961328551,customers,parking,no,no,surface,unpaved,yes,2021-07-04T15:08:40Z,1,107394866,mastrchiefr,10248324,1556,Real Property,SACRAMENTO,11719,CAROL MILLER JUSTICE CENTER,301 BICENTENNIAL CIRCLE,SACRAMENTO,CA,95826,JUDICIAL COUNCIL OF CALIFORNIA,8.55,99060,38.550368,-121.406954,38.53,509.179388,13059.47312
146,Polygon Z,1,27599,way/107138738,permissive,parking,no,yes,surface,asphalt,yes,2022-08-04T16:13:45Z,6,124488195,Timothy Smith,115918,1551,Real Property,SACRAMENTO,11324,JACKSON ROAD PARK AND RIDE,,SACRAMENTO,CA,95830,"TRANSPORTATION, DEPT OF",0.46,0,38.506727,-121.245898,124.69,236.892954,2275.241456
147,Polygon Z,1,27763,way/107277687,permissive,parking,no,yes,surface,asphalt,yes,2022-08-04T16:24:49Z,6,124488570,Timothy Smith,115918,1550,Real Property,SACRAMENTO,11320,ELKHORN BLVD. PARK AND RIDE,,SACRAMENTO,CA,95835,"TRANSPORTATION, DEPT OF",0.58,0,38.685129,-121.544597,22.7,161.204734,1508.425154
148,Polygon Z,1,28444,way/107397936,yes,parking,no,yes,surface,asphalt,yes,2021-10-05T21:41:44Z,8,112142058,PCarew_EG,13097056,1309,Real Property,PLACER,11331,TAYLOR ROAD PARK AND RIDE,,ROSEVILLE,CA,95678,"TRANSPORTATION, DEPT OF",3.13,0,38.759891,-121.258357,196.55,577.779051,19421.45639
149,Polygon Z,1,28548,way/246334235,private,parking,no,yes,surface,asphalt,yes,2013-11-15T17:24:04Z,1,18918533,dchiles,153669,2621,Real Property,YUBA,157,STARBEND FA,,UNINCORP - YUBA CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",9,0,39.010723,-121.582311,44.31,401.512582,4774.711202
150,Polygon Z,1,28913,way/107277653,yes,parking,no,yes,surface,unpaved,yes,2020-04-06T03:55:59Z,3,83118693,julianofhernandez,10665258,233,Real Property,EL DORADO,11318,CAMBRIDGE ROAD PARK AND RIDE,,CAMERON PARK,CA,95682,"TRANSPORTATION, DEPT OF",0.34,0,38.658122,-120.998461,1152.51,264.763859,4114.368472
151,Polygon Z,1,28922,way/107277700,permissive,parking,no,yes,surface,asphalt,yes,2020-07-26T11:13:59Z,8,88517744,PritamSarang,11460235,250,Real Property,EL DORADO,11328,PONDEROSA ROAD WEST PARK AND RIDE, PONDEROSA RD AND,SHINGLE SPRINGS,CA,95682,"TRANSPORTATION, DEPT OF",1.37,0,38.663312,-120.938787,1522.02,303.47428,6495.62504
152,Polygon Z,1,28927,way/107277669,fee,parking,no,yes,surface,asphalt,yes,2020-07-29T08:17:14Z,3,88663846,PritamSarang,11460235,248,Real Property,EL DORADO,11322,GREENSTONE ROAD PARK AND RIDE,,PLACERVILLE,CA,95667,"TRANSPORTATION, DEPT OF",0.3,0,38.696839,-120.888206,1370.61,226.104177,943.954347
153,Polygon Z,1,28988,way/107397909,permissive,parking,no,no,surface,gravel,yes,2022-02-19T10:11:58Z,2,117597726,Jorisbo,1983103,1306,Real Property,PLACER,11323,INDIAN HILLS ROAD PARK AND RIDE, INDIAN HILLS ROAD,NEWCASTLE,CA,95658,"TRANSPORTATION, DEPT OF",0.27,0,38.871705,-121.131074,891.11,322.643538,3202.654617
154,Polygon Z,1,29060,way/107397940,permissive,parking,no,no,surface,asphalt,yes,2021-09-23T23:53:20Z,7,111622935,lbrunkho,10384473,1300,Real Property,PLACER,11315,ATWOOD ROAD PARK AND RIDE, ATWOOD ROAD,AUBURN,CA,95603,"TRANSPORTATION, DEPT OF",0.75,0,38.935303,-121.093925,1398.47,316.16306,2172.708399
155,Polygon Z,1,29121,way/160424056,yes,parking,no,no,surface,asphalt,yes,2022-11-20T18:46:21Z,4,129166453,EvanSiroky,144525,156,Real Property,COLUSA,12066,MAXWELL SAFETY ROADSIDE REST AREA - NB, 2.0 MI S OF MAXWELL,UNINCORP - COLUSA CO,CA,95955,"TRANSPORTATION, DEPT OF",25.96,1733,39.240468,-122.179985,74.9,229.957403,2216.343496
156,Polygon Z,1,29122,way/160424057,yes,parking,no,no,surface,asphalt,yes,2012-04-20T23:05:57Z,1,11369415,widesays,529264,155,Real Property,COLUSA,12065,MAXWELL SAFETY ROADSIDE REST AREA - SB, 2.0 MI S OF MAXWELL,UNINCORP - COLUSA CO,CA,95955,"TRANSPORTATION, DEPT OF",17,1733,39.242035,-122.183697,77.7,229.724874,2137.793352
157,Polygon Z,1,29202,way/160416419,customers,parking,no,no,surface,asphalt,yes,2012-04-20T21:32:44Z,1,11368820,widesays,529264,341,Real Property,GLENN,12067,WILLOWS SAFETY ROADSIDE REST AREA - NB, 4.6 MI N OF WILLOWS,UNINCORP - GLENN CO,CA,95988,"TRANSPORTATION, DEPT OF",22.2,2217,39.592302,-122.208765,153.44,471.017179,5199.882463
158,Polygon Z,1,29203,way/160416420,yes,parking,no,no,surface,asphalt,yes,2020-09-27T19:57:22Z,4,91596040,EvanSiroky,144525,342,Real Property,GLENN,12068,WILLOWS SAFETY ROADSIDE REST AREA - SB, 4.6 MI N OF WILLOWS,UNINCORP - GLENN CO,CA,95988,"TRANSPORTATION, DEPT OF",22.47,2217,39.592883,-122.209866,153.44,397.152769,3843.404279
159,Polygon Z,1,29341,way/825407928,customers,parking,yes,no,surface,asphalt,yes,2020-08-10T06:33:25Z,5,89179320,PritamSarang,11460235,100,Real Property,BUTTE,11319,CHICO PARK AND RIDE,,CHICO,CA,95928,"TRANSPORTATION, DEPT OF",0.73,0,39.737189,-121.818289,220.34,320.448487,6850.486474
160,Polygon Z,1,29395,way/107277665,yes,parking,yes,yes,surface,asphalt,yes,2020-07-29T07:15:16Z,6,88659720,PritamSarang,11460235,2422,Real Property,SUTTER,11316,BOGUE ROAD PARK AND RIDE,,YUBA CITY,CA,95991,"TRANSPORTATION, DEPT OF",1.7,0,39.098518,-121.633476,48.99,668.238919,19164.64415
161,Polygon Z,1,29443,way/432975439,customers,parking,yes,yes,surface,asphalt,yes,2016-07-25T03:36:54Z,1,41001978,happy5214,199837,2615,Real Property,YUBA,1898,03 DISTRICT OFFICE,703 B STREET,MARYSVILLE,CA,95901,"TRANSPORTATION, DEPT OF",2.36,240524,39.143744,-121.585699,60.21,488.851076,13286.62763
162,Polygon Z,1,29539,way/107397901,permissive,parking,yes,yes,surface,asphalt,limited,2020-07-29T08:17:14Z,5,88663846,PritamSarang,11460235,1226,Real Property,NEVADA,11327,PLEASANT VALLEY PARK AND RIDE - PENN VALLEY, PLEASANT VALLEY RD,PENN VALLEY,CA,95946,"TRANSPORTATION, DEPT OF",0.25,0,39.205236,-121.204314,1434.33,206.71881,1997.946812
163,Polygon Z,1,29540,way/107397961,permissive,parking,yes,yes,surface,asphalt,limited,2020-07-29T08:17:14Z,4,88663846,PritamSarang,11460235,1225,Real Property,NEVADA,11326,PENN VALLEY ROAD PARK AND RIDE, NE CNR SR 20 AT,PENN VALLEY,CA,95946,"TRANSPORTATION, DEPT OF",0.89,0,39.204808,-121.168523,1419.24,245.48583,4170.996427
164,Polygon Z,1,29633,way/1041229685,customers,parking,yes,no,surface,asphalt,limited,2022-03-17T19:10:03Z,1,118607524,EvanSiroky,144525,1321,Real Property,PLACER,12064,GOLD RUN SAFETY ROADSIDE REST AREA - WB, 0.5 MI E OF EXIT 143,UNINCORP - PLACER CO,CA,95717,"TRANSPORTATION, DEPT OF",30.66,2510,39.179622,-120.854769,3129.87,611.225746,4830.925687
165,Polygon Z,1,29642,way/53331292,yes,parking,yes,$5 Day Use ,surface,gravel,limited,2015-09-01T22:25:34Z,4,33740382,JGH1985,3201890,1224,Real Property,NEVADA,1246,SOUTH YUBA RIVER STATE PARK,17660 PLEASANT VALLEY ROAD,PENN VALLEY,CA,95946,"PARKS & RECREATION, DEPT OF",3513.89,13657,39.292027,-121.194405,567.28,172.761628,2024.516676
166,Polygon Z,1,29668,way/961774506,yes,parking,yes,no,surface,asphalt,limited,2021-07-06T02:11:07Z,1,107465008,lbrunkho,10384473,1215,Real Property,NEVADA,766,GRASS VALLEY OFFICE BUILDING,890 SUTTON WAY,GRASS VALLEY,CA,95945,"MOTOR VEHICLES, DEPT OF",1.42,8246,39.235666,-121.034742,2623.93,406.522586,9204.998637
167,Polygon Z,1,29887,way/259466893,yes,parking,no,no,surface,asphalt,limited,2016-06-03T16:48:09Z,2,39783334,HagbardCeline,3782478,365,Real Property,HUMBOLDT,10945,FORTUNA CENTER,1500 ALAMR WAY,FORTUNA,CA,95540,"CONSERVATION CORPS, CALIFORNIA",6,27560,40.580948,-124.152814,46.71,371.295263,4512.349195
168,Polygon Z,1,29947,way/866111662,private,parking,no,no,surface,asphalt,limited,2021-04-30T16:29:23Z,2,103924906,JRH50,11392834,396,Real Property,HUMBOLDT,273,"SAMOA PENINSULA, PA",,UNINCORP - HUMBOLDT CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",12.95,0,40.772438,-124.212897,6.67,550.843562,17625.20464
169,Polygon Z,1,29948,way/107669107,yes,parking,no,yes,surface,asphalt,limited,2020-07-31T16:23:50Z,8,88791221,PritamSarang,11460235,361,Real Property,HUMBOLDT,11297,ELK RIVER PARK AND RIDE, POUND ROAD,EUREKA,CA,95501,"TRANSPORTATION, DEPT OF",0.7,0,40.758277,-124.190702,14.19,274.400574,4841.944344
170,Polygon Z,1,30065,way/866429659,customers,parking,no,no,surface,asphalt,yes,2020-11-02T20:18:56Z,1,93439511,Adamant1,4540953,359,Real Property,HUMBOLDT,1959,EQUIPMENT SHOP 01,1650 ALBEE STREET,EUREKA,CA,95501,"TRANSPORTATION, DEPT OF",2.9,35620,40.792041,-124.176296,24.91,236.763407,1933.658711
171,Polygon Z,1,30270,way/495054535,customers,parking,no,no,surface,asphalt,yes,2020-09-23T10:27:44Z,2,91358806,Adamant1,4540953,355,Real Property,HUMBOLDT,140,EUREKA,409 K STREET,EUREKA,CA,95502,EMPLOYMENT DEVELOPMENT DEPARTMENT,0.9,17789,40.803119,-124.160177,42.21,290.652916,4590.041297
172,Polygon Z,1,30317,way/495045982,yes,parking,no,no,surface,asphalt,yes,2019-02-03T04:27:05Z,2,66869303,hwescott,5526221,360,Real Property,HUMBOLDT,11026,DISTRICT 01 OFFICE ANNEX,1835 6TH STREET,EUREKA,CA,95501,"TRANSPORTATION, DEPT OF",0.64,6480,40.803345,-124.152128,30.8,181.852113,1963.804832
173,Polygon Z,1,30392,way/221480033,private,parking,no,no,surface,asphalt,yes,2019-12-10T06:35:22Z,3,78188166,EditConscript,10529314,224,Real Property,DEL NORTE,194,NORTH BEACH FA,,UNINCORP - DEL NORTE CO,CA,0,"FISH AND WILDLIFE, CA DEPT OF",2,0,41.782765,-124.252186,59.49,595.221156,17265.18506
